From,To,1,2,3,4,5,6,7,8,9
1,1,-1.5,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.01,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04,1.09,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1.1,1.19,-3.0,-3.0,-2.0,-3.0,-3.0,-2.0,-2.0,-1.5,-1.5
1.2,1.29,4.0,6.5,6.0,7.5,7.0,6.0,8.5,11.0,6.5
1.3,1.39,9.0,13.0,9.0,11.5,11.5,10.0,14.0,13.5,9.0
1.4,1.49,13.0,19.5,17.0,20.0,20.5,17.5,19.0,22.0,16.5
1.5,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,1.79,6.5,8.5,11.0,6.0,8.5,8.5,9.0,7.0,6.0
1.8,1.89,12.0,15.0,12.0,13.0,13.5,13.5,10.0,12.5,11.5
1.9,1.99,17.5,17.5,15.0,18.0,17.5,17.0,16.5,15.5,17.0
2,2,-2.5,-2.0,-1.0,-2.0,-1.5,0.0,0.0,0.0,0.0
2.01,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,2.24,-2.0,-1.5,-1.0,-1.5,-1.0,0.0,-1.0,0.0,0.0
2.25,2.49,1.0,4.0,5.5,5.5,4.0,6.0,3.5,4.5,5.0
2.5,2.69,15.0,15.0,10.0,16.0,15.0,12.0,15.0,16.0,14.0
2.7,2.79,18.0,17.0,11.0,20.0,19.0,13.0,16.0,17.0,15.0
2.8,2.89,19.0,18.0,12.0,21.0,20.0,14.0,17.0,18.0,16.0
2.9,2.99,20.0,19.0,13.0,22.0,21.0,15.0,18.0,19.0,17.0
